“Good Fighters” and “Great Negotiators”: Donald Trump Is Weirdly Full of Praise for the Taliban, 3 hours ago, In April 2020, as the coronavirus was engulfing the U.S., then president Donald Trump declared at his then daily coronavirus briefing,..., https://www.vanityfair.com/news/2021/08/donald-trump-taliban-good-fighters-great-negotiators  
‘A one-man scam Pac’: Trump’s money hustling tricks prompt fresh scrutiny, 2 weeks ago, Donald Trump's penchant for turning his political and legal troubles into fundraising schemes has long been recognized but the former US..., https://www.theguardian.com/us-news/2021/aug/02/donald-trump-fundraising-schemes-campaign-finance-scrutiny-criticism  
Thomas Barrack: Top Trump aide accused of working as foreign agent, 1 month ago, Billionaire and long-time Donald Trump ally Thomas J Barrack has been arrested in Los Angeles for allegedly acting as an agent of a foreign..., https://www.bbc.com/news/world-us-canada-57909836  
Letter: Understanding Trump's appeal, 2 days ago, Being raised in the Bible Belt of Appalachia I thought I sort of understood the attraction of Trumpism. Donald Trump's rallies were similar..., https://www.adn.com/opinions/letters/2021/08/16/letter-understanding-trumps-appeal/  
Historian: Trump's deal with Taliban created a 'roadmap toward a surrender', 1 day ago, Historian: Trump's deal with Taliban created a 'roadmap toward a surrender'. Robert Crews a historian at Stanford University specializing in..., https://www.cnn.com/videos/world/2021/08/17/afghanistan-trump-deal-robert-crews-sot-nr-intl-hnk-vpx.cnn  
Trump’s New Big Lie: Afghanistan, 5 days ago, Former President Donald Trump is telling lies about how he would have handled the withdrawal of troops from Afghanistan opening a new..., https://slate.com/news-and-politics/2021/08/afghanistan-withdrawal-trump-biden.html  
Trump’s infrastructure sabotage has been a failure in the Senate, 1 week ago, I think he's wrong on this issue” he said. Republican Sen. Kevin Cramer on Trump's statement opposing the bipartisan infrastructure bill: "He..., https://www.vox.com/2021/8/9/22616827/trump-threats-bipartisan-infrastructure-bill-vote  
Trump may be fading away but Trumpism is now in the American bloodstream, 2 weeks ago, Because even if Trump never returns Trumpism is already in the American bloodstream. Some hoped that the 6 January attempted insurrection might..., https://www.theguardian.com/commentisfree/2021/aug/06/trump-trumpism-american-presidential-run-republican  
GOP scrubs page touting Trump's 'historic peace agreement' with Taliban, 2 days ago, “President Trump has continued to take the lead in peace talks as he signed a historic peace agreement with the Taliban in Afghanistan”..., https://theweek.com/afghanistan-war/1003748/gop-takes-down-2020-page-touting-trumps-historic-peace-agreement-with-the  
“All Roads Lead to Mar-a-Lago”: Inside the Fury and Fantasy of Donald Trump’s Florida, 1 week ago, “All Roads Lead to Mar-a-Lago”: Inside the Fury and Fantasy of Donald Trump's Florida. Roger Stone Tucker Carlson Sean Hannity Ben Shapiro—..., https://www.vanityfair.com/news/2021/08/the-fury-and-fantasy-of-donald-trumps-florida  
Mary Trump asked if she thinks her uncle will run for President again. Hear her reply., 23 hours ago, CNN's Jake Tapper talks with Mary Trump about her new book and her uncle former President Donald Trump., https://www.cnn.com/videos/politics/2021/08/17/mary-trump-new-book-intv-lead-vpx.cnn/video/playlists/top-news-videos/  
